City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Yakeshi,CN,76.68,broken clouds,49.2833,120.7333,Longhua Hotel
1,Butaritari,KI,81.72,light rain,3.0707,172.7902,Isles Sunset Lodge
6,Rikitea,PF,75.56,light rain,-23.1203,-134.9692,People ThankYou
9,Tempe,US,85.21,clear sky,33.4148,-111.9093,"Holiday Inn Express & Suites Phoenix Tempe - University, an IHG Hotel"
23,Alofi,NU,78.69,few clouds,-19.0595,-169.9187,Taloa Heights
34,Tautira,PF,79.75,few clouds,-17.7333,-149.15,Pension Oaoa
36,Taganak,PH,86.14,overcast clouds,6.0833,118.3,Taganak
39,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
44,Port-Gentil,GA,77.76,overcast clouds,-0.7193,8.7815,Fengshui Residence
50,Kapaa,US,77.47,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
53,Georgetown,MY,87.75,thunderstorm,5.4112,100.3354,Cititel Penang
55,Pangai,TO,78.26,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
60,Alyangula,AU,84.02,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
72,Hilo,US,83.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
81,Kismayo,SO,81.81,broken clouds,-0.3582,42.5454,Agan-Hotel
87,Kurume,JP,86.97,scattered clouds,33.3167,130.5167,Toyoko INN Nishitetsu Kurume Station east exit
88,Atambua,ID,84.99,few clouds,-9.1061,124.8925,Kost Alfa Flat
94,Coyutla,MX,78.58,clear sky,20.25,-97.65,Hotel Retorno
96,Isangel,VU,78.51,broken clouds,-19.55,169.2667,Tanna Lodge
97,Saint-Pierre,RE,75.9,clear sky,-21.3393,55.4781,Alize Plage
98,Bengkulu,ID,84.61,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
107,Banda Aceh,ID,86.97,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
109,Dingle,PH,87.94,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
