City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Yakeshi,CN,2022-05-22 04:53:05,49.2833,120.7333,76.68,18,81,19.3,broken clouds
1,Butaritari,KI,2022-05-22 04:53:06,3.0707,172.7902,81.72,78,85,11.63,light rain
2,Moron,AR,2022-05-22 04:53:06,-34.6534,-58.6198,55.98,94,1,1.48,clear sky
3,Port Elizabeth,ZA,2022-05-22 04:53:07,-33.918,25.5701,50.09,93,0,2.3,clear sky
4,Conceicao Do Araguaia,BR,2022-05-22 04:53:07,-8.2578,-49.2647,69.08,68,23,3.2,few clouds
5,Yellowknife,CA,2022-05-22 04:48:57,62.456,-114.3525,41.56,100,100,9.22,light intensity shower rain
6,Rikitea,PF,2022-05-22 04:53:08,-23.1203,-134.9692,75.56,77,5,13.33,light rain
7,Hofn,IS,2022-05-22 04:53:08,64.2539,-15.2082,46.36,87,100,15.93,overcast clouds
8,San Cristobal,VE,2022-05-22 04:53:09,7.7669,-72.225,69.98,85,17,2.95,few clouds
9,Tempe,US,2022-05-22 04:48:33,33.4148,-111.9093,85.21,25,0,5.75,clear sky
10,Cape Town,ZA,2022-05-22 04:53:09,-33.9258,18.4232,56.12,90,0,6.91,clear sky
11,Bluff,NZ,2022-05-22 04:53:10,-46.6,168.3333,48.67,65,69,21.39,broken clouds
12,Saskylakh,RU,2022-05-22 04:53:10,71.9167,114.0833,34.81,100,100,3.31,overcast clouds
13,Ilulissat,GL,2022-05-22 04:53:10,69.2167,-51.1,34.34,71,100,8.63,overcast clouds
14,Timra,SE,2022-05-22 04:53:11,62.487,17.3257,42.48,70,40,6.91,scattered clouds
15,Necochea,AR,2022-05-22 04:53:11,-38.5473,-58.7368,48.07,68,0,6.15,clear sky
16,Chuy,UY,2022-05-22 04:51:10,-33.6971,-53.4616,49.86,91,95,5.55,overcast clouds
17,Saint-Philippe,RE,2022-05-22 04:53:12,-21.3585,55.7679,74.79,74,18,9.69,few clouds
18,Sao Filipe,CV,2022-05-22 04:53:12,14.8961,-24.4956,71.19,79,69,6.35,broken clouds
