City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-05-20 02:44:17,-46.6,168.3333,41.81,65,77,22.5
1,Itoman,JP,2022-05-20 02:44:18,26.1247,127.6694,77.02,96,75,17.27
2,Megion,RU,2022-05-20 02:44:19,61.0296,76.1136,50.02,83,99,15.05
3,Dukat,RU,2022-05-20 02:44:19,62.55,155.55,35.17,89,100,8.9
4,Moerai,PF,2022-05-20 02:44:20,-22.4333,-151.3333,77.4,73,9,8.66
5,Tiznit,MA,2022-05-20 02:44:20,29.5833,-9.5,67.21,60,15,2.57
6,Busselton,AU,2022-05-20 02:44:21,-33.65,115.3333,65.25,68,88,6.62
7,Longyearbyen,SJ,2022-05-20 02:42:46,78.2186,15.6401,30.04,64,75,8.05
8,Meulaboh,ID,2022-05-20 02:44:21,4.1363,96.1285,83.05,71,100,2.82
9,Hobart,AU,2022-05-20 02:40:49,-42.8794,147.3294,57.25,64,40,2.3
10,Avarua,CK,2022-05-20 02:44:22,-21.2078,-159.775,77.05,88,75,6.91
11,Alta Floresta,BR,2022-05-20 02:44:22,-9.8756,-56.0861,60.31,60,77,2.3
12,Port Elizabeth,ZA,2022-05-20 02:44:23,-33.918,25.5701,55.31,96,100,8.05
13,Albany,US,2022-05-20 02:42:33,42.6001,-73.9662,56.05,86,92,4.85
14,Tucuman,AR,2022-05-20 02:43:21,-26.8241,-65.2226,46.4,87,0,2.3
15,Takoradi,GH,2022-05-20 02:44:24,4.8845,-1.7554,79.18,85,53,6.93
16,Kaitangata,NZ,2022-05-20 02:44:24,-46.2817,169.8464,42.62,86,76,12.12
17,Rantepao,ID,2022-05-20 02:44:24,-2.9701,119.8978,74.37,87,96,1.07
18,Boyolangu,ID,2022-05-20 02:44:25,-8.1181,111.8935,82.53,78,97,4.7
19,Rio Tercero,AR,2022-05-20 02:44:26,-32.173,-64.1141,46.8,53,48,4.85
20,Sorland,NO,2022-05-20 02:44:26,67.667,12.6934,44.46,85,83,9.51
21,Kodiak,US,2022-05-20 02:44:27,57.79,-152.4072,56.71,51,0,12.66
22,Ribeira Grande,PT,2022-05-20 02:44:27,38.5167,-28.7,60.21,78,45,6.44
23,East London,ZA,2022-05-20 02:44:28,-33.0153,27.9116,63.19,88,100,10.47
24,Jamestown,US,2022-05-20 02:44:28,42.097,-79.2353,64.04,78,75,4.61
25,Puerto Baquerizo Moreno,EC,2022-05-20 02:44:29,-0.9,-89.6,72.81,90,58,8.5
26,Castro,BR,2022-05-20 02:44:29,-24.7911,-50.0119,40.93,86,7,2.33
27,Chuy,UY,2022-05-20 02:44:30,-33.6971,-53.4616,47.95,85,2,5.44
28,Saint-Philippe,RE,2022-05-20 02:44:30,-21.3585,55.7679,65.79,75,36,9.4
29,Rikitea,PF,2022-05-20 02:44:30,-23.1203,-134.9692,76.06,79,100,9.98
30,Kjollefjord,NO,2022-05-20 02:44:31,70.9457,27.3465,37.45,74,100,4.94
31,Ushuaia,AR,2022-05-20 02:44:05,-54.8,-68.3,51.46,66,0,4.61
32,Zhezkazgan,KZ,2022-05-20 02:44:31,47.8043,67.7144,62.58,34,0,4.47
33,Uray,RU,2022-05-20 02:44:32,60.1247,64.7758,38.84,93,100,11.54
34,Barrow,US,2022-05-20 02:44:32,71.2906,-156.7887,33.82,86,100,11.5
35,Ancud,CL,2022-05-20 02:44:33,-41.8697,-73.8203,54.03,91,100,19.1
36,Qasigiannguit,GL,2022-05-20 02:44:33,68.8193,-51.1922,28.65,79,13,5.57
37,Poum,NC,2022-05-20 02:44:33,-20.2333,164.0167,78.42,77,1,12.35
38,New Norfolk,AU,2022-05-20 02:44:34,-42.7826,147.0587,56.91,63,4,1.01
39,Hilo,US,2022-05-20 02:44:34,19.7297,-155.09,80.33,84,100,12.66
40,Punta Arenas,CL,2022-05-20 02:44:35,-53.15,-70.9167,42.91,93,100,10.36
41,Shihezi,CN,2022-05-20 02:44:35,44.3,86.0333,75.79,37,100,9.08
42,Vaini,TO,2022-05-20 02:44:36,-21.2,-175.2,82.56,69,20,8.05
43,Beringovskiy,RU,2022-05-20 02:44:36,63.05,179.3167,36.68,86,100,8.08
44,Puerto Ayora,EC,2022-05-20 02:44:36,-0.7393,-90.3518,73.54,97,46,1.99
45,Yellowknife,CA,2022-05-20 02:43:42,62.456,-114.3525,54.12,22,20,11.5
46,Port Macquarie,AU,2022-05-20 02:43:31,-31.4333,152.9167,59.9,81,100,5.55
47,Uralets,RU,2022-05-20 02:44:37,57.6614,59.6497,36.82,76,55,12.53
48,Inhambane,MZ,2022-05-20 02:45:37,-23.865,35.3833,68.31,89,2,7.25
49,Mtwara,TZ,2022-05-20 02:45:38,-10.2667,40.1833,72.77,89,98,7.05
50,Richards Bay,ZA,2022-05-20 02:45:38,-28.783,32.0377,63.32,68,6,4.36
51,Cape Town,ZA,2022-05-20 02:45:39,-33.9258,18.4232,53.11,75,20,1.01
52,Dikson,RU,2022-05-20 02:45:39,73.5069,80.5464,29.59,83,100,10.63
53,Menongue,AO,2022-05-20 02:45:40,-14.6585,17.691,53.19,67,0,5.17
54,Port Alfred,ZA,2022-05-20 02:45:40,-33.5906,26.891,56.17,96,100,3.0
55,Pangnirtung,CA,2022-05-20 02:45:41,66.1451,-65.7125,27.9,83,100,3.94
56,Yerofey Pavlovich,RU,2022-05-20 02:45:41,53.9667,121.9667,64.36,33,89,7.63
57,Lompoc,US,2022-05-20 02:45:42,34.6391,-120.4579,62.78,70,0,12.66
58,Acari,PE,2022-05-20 02:45:42,-15.4311,-74.6158,68.09,82,60,4.92
59,Ponta Do Sol,PT,2022-05-20 02:45:43,32.6667,-17.1,67.01,82,34,2.89
60,Kapaa,US,2022-05-20 02:43:16,22.0752,-159.319,81.12,88,100,13.8
61,Kruisfontein,ZA,2022-05-20 02:45:43,-34.0033,24.7314,52.88,90,100,7.7
62,Rapid Valley,US,2022-05-20 02:45:44,44.0625,-103.1463,51.46,43,40,8.05
63,Half Moon Bay,US,2022-05-20 02:45:44,37.4636,-122.4286,67.8,64,0,29.93
64,Mataura,NZ,2022-05-20 02:45:45,-46.1927,168.8643,41.49,86,96,10.09
65,Butaritari,KI,2022-05-20 02:45:45,3.0707,172.7902,81.99,68,6,12.84
66,Cleveland,US,2022-05-20 02:45:46,41.4995,-81.6954,73.15,58,0,11.5
67,Noumea,NC,2022-05-20 02:41:53,-22.2763,166.4572,79.0,99,89,16.75
68,Pamanukan,ID,2022-05-20 02:45:47,-6.2842,107.8106,79.11,82,98,2.3
69,Vesyegonsk,RU,2022-05-20 02:45:48,58.664,37.2604,33.96,75,14,6.58
70,Dubbo,AU,2022-05-20 02:45:48,-32.25,148.6167,60.93,59,75,17.27
71,Chabahar,IR,2022-05-20 02:45:49,25.2919,60.643,84.88,72,0,4.12
72,Mareeba,AU,2022-05-20 02:45:49,-17.0,145.4333,80.47,64,64,5.1
73,Bubaque,GW,2022-05-20 02:45:49,11.2833,-15.8333,78.42,81,95,14.5
74,Ambon,ID,2022-05-20 02:45:50,-3.6954,128.1814,87.94,70,40,3.44
75,Ilulissat,GL,2022-05-20 02:45:51,69.2167,-51.1,28.42,93,0,0.0
76,Khatanga,RU,2022-05-20 02:45:51,71.9667,102.5,31.59,94,100,3.4
77,Raudeberg,NO,2022-05-20 02:45:52,61.9875,5.1352,47.07,93,79,8.5
78,Novobirilyussy,RU,2022-05-20 02:45:52,56.9514,90.6661,66.69,32,73,13.96
79,Anadyr,RU,2022-05-20 02:45:52,64.75,177.4833,43.3,70,95,15.66
80,Bilibino,RU,2022-05-20 02:45:53,68.0546,166.4372,39.54,95,98,2.98
81,Taiyuan,CN,2022-05-20 02:45:54,37.8694,112.5603,73.26,35,0,2.24
82,Boguchar,RU,2022-05-20 02:45:54,49.9358,40.545,51.19,78,100,4.83
83,Kismayo,SO,2022-05-20 02:45:55,-0.3582,42.5454,79.2,78,52,13.78
84,Talnakh,RU,2022-05-20 02:45:55,69.4865,88.3972,38.21,74,97,6.87
85,Labuhan,ID,2022-05-20 02:45:55,-6.8844,112.2051,84.51,72,98,4.88
86,Wanning,CN,2022-05-20 02:45:56,18.8003,110.3967,84.0,70,92,7.27
87,Aksay,RU,2022-05-20 02:45:56,47.26,39.87,52.25,91,98,8.01
88,Mahibadhoo,MV,2022-05-20 02:45:57,3.7833,72.9667,82.24,80,100,14.03
89,Hermanus,ZA,2022-05-20 02:45:57,-34.4187,19.2345,55.18,62,18,1.79
90,Orotukan,RU,2022-05-20 02:45:58,62.2667,151.7,40.86,77,100,6.53
91,Airai,TL,2022-05-20 02:45:58,-8.9266,125.4092,74.57,42,2,5.86
92,Yumen,CN,2022-05-20 02:45:59,40.2833,97.2,75.15,19,1,7.23
93,Bredasdorp,ZA,2022-05-20 02:46:59,-34.5322,20.0403,51.06,63,36,6.15
94,Verkhoyansk,RU,2022-05-20 02:47:00,67.5447,133.385,44.78,59,68,5.91
